TOA5,,CR800,43098,CR800.Std.32.02,CPU:CR800_WR417_COND_1459_5s.CR8,17980,Table1
TIMESTAMP,Time,RECORD,Cond_cor,Ct_raw,Temp_C,,
TS,,RN,mS/cm,mS/cm,Deg C,,
,,,Smp,Smp,Smp,,
14:47:25,595,19777,0.7518889,0.6420029,20.13,,
14:47:30,600,19778,0.7512654,0.6420029,20.15,,
14:47:35,605,19779,0.752201,0.6420029,20.12,,
14:47:40,610,19780,0.7509541,0.6420029,20.16,,
14:47:45,615,19781,0.7502716,0.6422176,20.2,,
14:47:50,620,19782,0.7509541,0.6420029,20.16,,
14:47:55,625,19783,0.7518284,0.6422176,20.14,,
14:48:00,630,19784,0.7521403,0.6422176,20.13,,
14:48:05,635,19785,0.7522185,0.6420158,20.12,,
14:48:10,640,19786,0.7515334,0.6422305,20.15,,
14:48:15,645,19787,0.7509115,0.6422305,20.18,,
14:48:20,650,19788,0.7524701,0.6422305,20.12,,
14:48:25,655,19789,0.7515334,0.6422305,20.15,,
14:48:30,660,19790,0.7521579,0.6422305,20.13,,
14:48:35,665,19791,0.750289,0.6422305,20.2,,
14:48:40,670,19792,0.7515334,0.6422305,20.15,,
14:48:45,675,19793,0.7512227,0.6422305,20.16,,
14:48:50,680,19794,0.7515334,0.6422305,20.15,,
14:48:55,685,19795,0.7512227,0.6422305,20.16,,
14:49:00,690,19796,0.7509115,0.6422305,20.18,,
14:49:05,695,19797,0.750289,0.6422305,20.2,,
14:49:10,700,19798,0.7505997,0.6422305,20.19,,
14:49:15,705,19799,0.750289,0.6422305,20.2,,
14:49:20,710,19800,0.7515334,0.6422305,20.15,,
14:49:25,715,19801,0.7512227,0.6422305,20.16,,
14:49:30,720,19802,0.7509115,0.6422305,20.18,,
14:49:35,725,19803,0.7509115,0.6422305,20.18,,
14:49:40,730,19804,0.7496012,0.6421736,20.22,,
14:49:45,735,19805,0.7514071,0.6423882,20.16,,
14:49:50,740,19806,0.750784,0.6423882,20.19,,
14:49:55,745,19807,0.7514071,0.6423882,20.16,,
14:50:00,750,19808,0.7514071,0.6423882,20.16,,
14:50:05,755,19809,0.7517178,0.6423882,20.15,,
14:50:10,760,19810,0.7413573,0.6351112,20.22,,
14:50:15,765,19811,0.750784,0.6423882,20.19,,
14:50:20,770,19812,0.7514071,0.6423882,20.16,,
14:50:25,775,19813,0.750784,0.6423882,20.19,,
14:50:30,780,19814,0.7523417,0.6423882,20.13,,
14:50:35,785,19815,0.7514071,0.6423882,20.16,,
14:50:40,790,19816,0.7520304,0.6423882,20.14,,
14:50:45,795,19817,0.7507129,0.6415294,20.15,,
14:50:50,800,19818,0.7525936,0.6426032,20.13,,
14:50:55,805,19819,0.7516586,0.6426032,20.16,,
14:51:00,810,19820,0.7517178,0.6423882,20.15,,
14:51:05,815,19821,0.7516586,0.6426032,20.16,,
14:51:10,820,19822,0.7516027,0.6425574,20.16,,
14:51:15,825,19823,0.7503572,0.6425574,20.21,,
14:51:20,830,19824,0.7522262,0.6425574,20.14,,
14:51:25,835,19825,0.7525375,0.6425574,20.13,,
14:51:30,840,19826,0.7509786,0.6425574,20.19,,
14:51:35,845,19827,0.7528499,0.6425574,20.12,,
14:51:40,850,19828,0.7512905,0.6425574,20.18,,
