Time,Run_time,Cond_cor
13:36:00,2115,988.9316
13:36:05,2120,994.8299
13:36:10,2125,996.6826
13:36:15,2130,994.5687
13:36:20,2135,997.0388
13:36:25,2140,997.0388
13:36:30,2145,997.0388
13:36:35,2150,1001.993
13:36:40,2155,1009.457
13:36:45,2160,1010.706
13:36:50,2165,1008.21
13:36:55,2170,1008.21
13:37:00,2175,1008.21
13:37:05,2180,1008.21
13:37:10,2185,1009.457
13:37:15,2190,1008.834
13:37:20,2195,1008.834
13:37:25,2200,1008.569
13:37:30,2205,1009.677
13:37:35,2210,1009.412
13:37:40,2215,1009.412
13:37:45,2220,1010.395
13:37:50,2225,1010.395
13:37:55,2230,1010.66
13:38:00,2235,1010.395
13:38:05,2240,1010.395
13:38:10,2245,1011.644
13:38:15,2250,1011.644
13:38:20,2255,1011.644
13:38:25,2260,1011.644
13:38:30,2265,1009.148
13:38:35,2270,1007.901
13:38:40,2275,1007.901
13:38:45,2280,1007.901
13:38:50,2285,1007.901
13:38:55,2290,1007.901
13:39:00,2295,1007.901
13:39:05,2300,1007.901
13:39:10,2305,1008.09
13:39:15,2310,1006.582
13:39:20,2315,1007.827
13:39:25,2320,1007.827
13:39:30,2325,1001.35
13:39:35,2330,997.2791
13:39:40,2335,996.3999
13:39:45,2340,992.6994
13:39:50,2345,992.0837
13:39:55,2350,992.0837
13:40:00,2355,992.0837
13:40:05,2360,991.468
13:40:10,2365,990.2379
13:40:15,2370,989.0089
13:40:20,2375,987.7811
13:40:25,2380,988.3949
13:40:30,2385,989.6234
13:40:35,2390,987.4264
13:40:40,2395,980.6942
13:40:45,2400,979.4742
13:40:50,2405,979.1266
13:40:55,2410,977.9074
13:41:00,2415,974.0021
13:41:05,2420,975.2172
13:41:10,2425,974.8654
13:41:15,2430,975.1212
13:41:20,2435,974.8654
13:41:25,2440,975.1212
13:41:30,2445,974.8654
13:41:35,2450,974.8654
13:41:40,2455,975.1212
13:41:45,2460,973.043
13:41:50,2465,972.4363
13:41:55,2470,970.0118
